schoolid,gender,math,reading,mathlevel,readlevel,Mi,finalwt
55,M,32,28,1,1,259,97.125
55,F,21,30,1,1,259,97.125
55,F,26,17,1,1,259,97.125
55,F,55,41,2,2,259,97.125
62,M,52,42,2,2,311,116.625
62,F,30,30,1,1,311,116.625
62,F,50,40,2,2,311,116.625
62,F,38,40,1,2,311,116.625
62,M,48,39,2,2,311,116.625
62,M,24,39,1,2,311,116.625
62,F,26,19,1,1,311,116.625
62,F,15,29,1,1,311,116.625
62,M,49,41,2,2,311,116.625
62,F,34,29,1,1,311,116.625
62,F,38,30,1,1,311,116.625
62,M,41,21,2,1,311,116.625
62,M,28,34,1,2,311,116.625
62,F,34,32,1,1,311,116.625
62,M,29,26,1,1,311,116.625
62,M,29,34,1,2,311,116.625
62,F,32,23,1,1,311,116.625
62,M,27,31,1,1,311,116.625
62,F,44,40,2,2,311,116.625
62,M,40,28,1,1,311,116.625
75,M,27,25,1,1,263,98.625
75,M,13,17,1,1,263,98.625
75,M,19,17,1,1,263,98.625
75,F,45,34,2,2,263,98.625
75,M,12,15,1,1,263,98.625
75,F,18,10,1,1,263,98.625
75,F,28,33,1,2,263,98.625
75,M,34,26,1,1,263,98.625
75,F,16,31,1,1,263,98.625
75,F,35,24,1,1,263,98.625
75,F,20,15,1,1,263,98.625
75,M,19,28,1,1,263,98.625
75,M,21,27,1,1,263,98.625
75,F,29,19,1,1,263,98.625
75,F,24,19,1,1,263,98.625
75,F,19,15,1,1,263,98.625
75,M,23,18,1,1,263,98.625
75,M,31,8,1,1,263,98.625
75,F,25,27,1,1,263,98.625
75,M,34,33,1,2,263,98.625
