county,state,acres92,acres87,acres82,farms92,farms87,farms82,largef92,largef87,largef82,smallf92,smallf87,smallf82,region
LINCOLN COUNTY,GA,32657,36282,43829,163,156,182,5,4,8,5,1,12,S
MARION COUNTY,GA,45448,41517,44848,133,128,147,9,7,9,6,11,9,S
OCONEE COUNTY,GA,51836,50545,60561,298,295,295,8,7,11,16,19,17,S
PUTNAM COUNTY,GA,34746,42314,45227,166,174,167,5,8,9,8,11,5,S
SCREVEN COUNTY,GA,138803,144990,184117,282,304,409,41,39,39,14,10,11,S
STEWART COUNTY,GA,49043,47913,67679,97,99,111,11,10,15,7,0,6,S
TALIAFERRO COUNTY,GA,19314,19096,22201,68,63,82,2,2,1,2,2,6,S
UNION COUNTY,GA,21973,23141,28145,261,263,307,0,0,1,11,15,17,S
WALKER COUNTY,GA,88829,95243,104909,527,563,584,7,6,11,23,26,25,S
WARREN COUNTY,GA,47000,52582,59762,136,146,168,7,11,10,1,4,3,S
WASHINGTON COUNTY,GA,111801,115320,133173,299,308,379,26,24,28,11,11,11,S
WILCOX COUNTY,GA,115516,114903,113807,292,274,304,31,25,27,13,15,18,S
BENTON COUNTY,IA,427215,419480,441810,1325,1434,1585,56,43,34,101,105,102,NC
CEDAR COUNTY,IA,338801,345483,349453,1099,1170,1323,40,28,32,91,103,111,NC
FREMONT COUNTY,IA,302352,308796,306786,596,719,771,91,72,51,37,59,50,NC
GRUNDY COUNTY,IA,317205,319657,320558,853,1037,1135,55,41,34,88,108,107,NC
HARRISON COUNTY,IA,399155,387190,408601,919,1024,1192,88,62,51,60,60,66,NC
HOWARD COUNTY,IA,260781,269285,278861,881,938,1055,40,33,30,68,64,70,NC
POWESHIEK COUNTY,IA,340982,335448,355718,933,1047,1152,56,47,40,64,85,86,NC
RINGGOLD COUNTY,IA,293266,285258,313971,676,701,776,67,56,43,17,34,33,NC
ADAMS COUNTY,ID,221209,207722,156465,271,257,218,41,44,39,45,31,16,W
BENEWAH COUNTY,ID,111510,115100,124190,195,205,222,39,38,40,10,7,11,W
CARIBOU COUNTY,ID,587693,587374,581254,384,428,455,120,125,120,22,25,27,W
CLEARWATER COUNTY,ID,103246,134891,123802,210,216,219,24,25,22,9,4,5,W
GEM COUNTY,ID,197176,222950,246028,531,539,543,38,40,42,63,65,69,W
NEZ PERCE COUNTY,ID,477839,473987,472509,345,405,433,102,121,117,41,52,63,W
CHRISTIAN COUNTY,IL,390149,425925,412448,892,1051,1161,117,93,64,59,62,65,NC
CLAY COUNTY,IL,223764,219110,212325,670,719,894,45,37,21,28,32,47,NC
COLES COUNTY,IL,263425,286077,283420,700,833,915,74,57,44,50,56,49,NC
KANKAKEE COUNTY,IL,358920,389185,379052,928,1086,1173,82,70,58,69,62,76,NC
MARION COUNTY,IL,253916,251754,266579,861,950,1179,45,39,36,30,42,39,NC
MCLEAN COUNTY,IL,709106,740964,745113,1616,1906,2126,176,141,98,91,105,117,NC
MERCER COUNTY,IL,312128,325075,324630,812,933,1058,72,68,50,65,73,45,NC
OGLE COUNTY,IL,392639,415755,434941,1141,1312,1406,73,63,70,89,98,102,NC
PULASKI COUNTY,IL,82426,82301,88159,218,244,285,23,23,20,6,7,6,NC
SANGAMON COUNTY,IL,446750,493253,474352,1046,1277,1372,132,133,98,106,132,138,NC
SHELBY COUNTY,IL,402212,422071,420047,1305,1431,1599,73,61,43,76,93,81,NC
STEPHENSON COUNTY,IL,314886,339020,342099,1179,1290,1434,42,20,22,88,72,95,NC
WASHINGTON COUNTY,IL,297003,315971,302821,831,987,1057,57,48,33,40,60,38,NC
BOONE COUNTY,IN,223429,227524,225374,711,822,935,58,48,40,88,78,93,NC
BROWN COUNTY,IN,22555,25696,32503,168,200,232,1,1,0,9,7,11,NC
ELKHART COUNTY,IN,192311,204547,213225,1447,1556,1678,20,22,14,236,234,239,NC
FOUNTAIN COUNTY,IN,229097,234599,213576,633,693,707,57,54,38,45,37,35,NC
GIBSON COUNTY,IN,241049,248054,234332,720,846,895,67,56,41,43,68,70,NC
JOHNSON COUNTY,IN,139638,139792,147756,586,650,737,26,21,16,56,55,63,NC
LAKE COUNTY,IN,144305,145566,148139,482,551,622,36,32,27,41,47,55,NC
MORGAN COUNTY,IN,139523,145490,143506,647,713,803,36,33,26,46,54,71,NC
VERMILLION COUNTY,IN,119318,127753,116868,307,393,375,32,30,22,20,11,17,NC
VIGO COUNTY,IN,144722,147757,147581,536,623,678,40,37,32,32,36,45,NC
WASHINGTON COUNTY,IN,189136,195118,208000,937,1034,1222,21,16,13,51,48,80,NC
WAYNE COUNTY,IN,189467,196898,200759,828,888,1000,32,26,13,57,59,73,NC
BROWN COUNTY,KS,339138,339853,346340,688,728,826,102,94,84,48,48,46,NC
CLAY COUNTY,KS,380969,392321,365074,600,672,719,143,131,108,41,44,38,NC
FRANKLIN COUNTY,KS,316317,312783,304871,926,979,1087,71,71,63,32,46,50,NC
LINCOLN COUNTY,KS,482434,454341,440520,511,578,615,165,163,151,11,30,30,NC
LYON COUNTY,KS,485656,469908,500674,842,872,945,134,116,129,23,37,37,NC
SCOTT COUNTY,KS,484415,470774,509606,363,391,416,163,165,165,17,31,40,NC
STEVENS COUNTY,KS,450829,460974,456595,295,300,325,155,174,172,7,5,2,NC
BOYD COUNTY,KY,27836,32302,34191,212,235,231,3,1,3,22,21,11,S
BOYLE COUNTY,KY,108291,103436,104583,742,765,855,14,7,7,97,103,151,S
FULTON COUNTY,KY,96829,93013,99860,164,203,255,36,32,32,10,6,10,S
GRANT COUNTY,KY,127161,133142,132188,1079,1053,1206,3,5,4,101,99,163,S
GRAVES COUNTY,KY,210275,220710,234488,1144,1213,1537,37,41,28,113,110,172,S
LAUREL COUNTY,KY,99527,102078,105374,1252,1305,1393,1,1,1,190,168,184,S
MASON COUNTY,KY,144254,150073,134980,887,895,932,3,4,3,134,132,169,S
MCLEAN COUNTY,KY,135179,123685,127768,458,527,655,31,25,16,58,62,110,S
SIMPSON COUNTY,KY,117768,130295,129474,569,590,707,19,28,10,64,57,96,S
UNION COUNTY,KY,196701,204933,203914,387,434,471,57,56,54,22,19,34,S
FRANKLIN PARISH,LA,264321,261541,262300,850,929,971,50,47,53,40,35,28,S
JEFFERSON PARISH,LA,4127,15748,8591,58,102,115,0,2,1,13,23,35,S
LAFAYETTE PARISH,LA,87574,89425,86948,677,674,765,27,20,15,108,105,128,S
OUACHITA PARISH,LA,74678,87400,93827,360,429,454,21,20,24,33,35,55,S
VERMILION PARISH,LA,316691,333377,342652,1117,1189,1283,70,67,62,86,85,99,S
WEST CARROLL PARISH,LA,126839,136800,169227,493,555,659,22,21,25,15,20,16,S
FRANKLIN COUNTY,MA,74484,82864,79412,519,616,521,2,1,1,41,60,51,NE
CECIL COUNTY,MD,80241,86861,94866,455,501,504,9,9,11,33,38,40,S
LINCOLN COUNTY,ME,24350,29230,32318,202,228,240,0,1,1,11,11,13,NE
BRANCH COUNTY,MI,227665,227375,243076,935,1034,1170,32,30,25,53,64,42,NC
IOSCO COUNTY,MI,47308,47988,57463,206,215,244,3,3,3,5,5,4,NC
MANISTEE COUNTY,MI,48029,46747,49377,252,280,304,3,4,5,8,9,8,NC
MENOMINEE COUNTY,MI,110014,118338,138157,309,374,458,20,17,10,8,5,5,NC
MONTMORENCY COUNTY,MI,22056,24040,24401,112,108,106,2,2,2,0,1,2,NC
SAGINAW COUNTY,MI,318125,308269,322729,1294,1424,1702,64,49,40,71,62,65,NC
SHIAWASSEE COUNTY,MI,236799,240357,244318,1086,1160,1386,39,28,14,33,41,34,NC
ST JOSEPH COUNTY,MI,234823,213857,220737,855,880,1033,43,28,25,55,52,58,NC
CHISAGO COUNTY,MN,138594,152717,171328,778,885,1047,11,12,11,27,37,35,NC
CLEARWATER COUNTY,MN,210897,229537,213105,583,699,693,34,32,23,8,19,13,NC
COTTONWOOD COUNTY,MN,374920,377506,378608,876,970,1053,67,62,54,48,65,54,NC
DAKOTA COUNTY,MN,221193,219920,239207,869,986,1084,41,27,24,68,76,90,NC
GOODHUE COUNTY,MN,379603,389539,407103,1540,1686,1840,42,27,26,79,113,115,NC
KITTSON COUNTY,MN,482991,498259,512785,521,576,642,200,196,181,4,8,11,NC
MARTIN COUNTY,MN,412660,433285,430605,1123,1269,1454,66,50,35,85,80,92,NC
PIPESTONE COUNTY,MN,252658,246804,250996,778,785,828,30,31,25,68,88,68,NC
RED LAKE COUNTY,MN,183208,210348,221960,352,404,422,51,55,53,14,18,14,NC
ROCK COUNTY,MN,270332,260092,273959,791,843,953,39,26,21,72,75,61,NC
CALDWELL COUNTY,MO,232189,233146,246864,820,857,925,44,32,29,26,29,34,NC
CLINTON COUNTY,MO,207611,210703,223152,714,807,875,51,40,39,23,22,42,NC
DAVIESS COUNTY,MO,278841,281633,298774,830,901,982,62,58,58,39,31,37,NC
HICKORY COUNTY,MO,174314,174007,155011,532,587,562,25,32,22,13,20,13,NC
LIVINGSTON COUNTY,MO,270576,271864,268956,717,801,839,61,54,51,21,29,29,NC
PHELPS COUNTY,MO,200766,202453,215428,716,773,789,35,26,36,23,36,22,NC
PIKE COUNTY,MO,323465,336976,345308,968,1037,1099,69,71,67,50,55,46,NC
REYNOLDS COUNTY,MO,89683,87217,114646,298,307,377,12,10,13,4,7,10,NC
SHANNON COUNTY,MO,120036,117978,114947,424,445,457,14,12,16,13,10,11,NC
SHELBY COUNTY,MO,273393,294855,276645,655,755,768,60,63,58,28,41,43,NC
ST LOUIS COUNTY,MO,54082,57088,55759,295,357,445,10,9,8,70,82,114,NC
COAHOMA COUNTY,MS,294547,260026,273741,230,237,309,92,74,97,10,6,13,S
JONES COUNTY,MS,96919,104172,129648,822,800,995,4,9,10,55,51,47,S
NOXUBEE COUNTY,MS,201759,219079,251737,426,449,545,47,51,51,13,14,14,S
SIMPSON COUNTY,MS,96540,95132,130119,587,576,771,4,7,14,13,20,24,S
WARREN COUNTY,MS,114083,106927,132105,193,222,280,35,34,26,9,10,18,S
BEAVERHEAD COUNTY,MT,1342484,1525564,1546687,345,373,342,166,182,179,22,42,28,W
DAWSON COUNTY,MT,1334041,1326655,1353774,451,499,499,289,308,310,9,41,32,W
MCCONE COUNTY,MT,1290134,1277022,1285961,415,441,425,285,293,291,8,27,13,W
POWELL COUNTY,MT,675569,670508,742622,233,237,210,99,100,97,13,29,17,W
BURKE COUNTY,NC,31671,34833,35776,348,366,409,1,0,1,30,41,45,S
CUMBERLAND COUNTY,NC,98531,99997,119053,437,524,642,22,15,22,42,70,86,S
GREENE COUNTY,NC,112291,117207,107523,407,510,670,20,9,5,17,27,43,S
RANDOLPH COUNTY,NC,144858,154350,163951,1293,1350,1527,2,4,6,96,100,127,S
ROCKINGHAM COUNTY,NC,130879,137426,148090,902,1056,1286,16,8,11,70,111,168,S
RUTHERFORD COUNTY,NC,55309,58090,67485,464,503,612,0,0,2,11,15,19,S
STANLY COUNTY,NC,89063,96868,115700,550,572,689,13,18,17,38,26,28,S
SURRY COUNTY,NC,121404,133218,144965,1269,1314,1605,6,9,4,109,108,165,S
GOLDEN VALLEY COUNTY,ND,505461,532249,551109,219,261,288,128,145,162,2,6,4,NC
GRANT COUNTY,ND,1019300,1020104,925911,598,688,685,351,375,361,16,11,21,NC
MORTON COUNTY,ND,1233663,1227024,1115087,923,988,956,428,443,426,38,54,67,NC
SIOUX COUNTY,ND,745815,807715,759586,200,229,219,132,162,159,3,2,2,NC
TOWNER COUNTY,ND,591185,630640,601223,462,557,552,271,296,268,8,11,10,NC
WILLIAMS COUNTY,ND,1182658,1189938,1161372,833,948,971,430,454,457,11,14,18,NC
BOX BUTTE COUNTY,NE,649612,638811,632991,516,556,543,199,197,195,29,39,40,NC
BOYD COUNTY,NE,296164,293720,282981,395,443,442,99,91,93,28,39,35,NC
DIXON COUNTY,NE,242898,266349,253365,609,704,731,53,50,31,48,57,34,NC
GA RFIELD COUNTY,NE,338136,325840,314792,228,248,268,81,84,86,26,30,20,NC
KEITH COUNTY,NE,668957,666954,630646,348,405,382,132,143,149,27,32,24,NC
KEYA PAHA COUNTY,NE,446007,474848,456566,206,259,269,124,142,144,12,15,26,NC
MORRILL COUNTY,NE,724458,724691,743507,458,535,550,156,153,164,28,54,41,NC
ROCK COUNTY,NE,657906,582745,598081,310,313,309,151,167,153,18,33,31,NC
YORK COUNTY,NE,345509,349155,353837,765,899,911,60,48,38,39,73,51,NC
BELKNAP COUNTY,NH,20910,21479,21794,147,153,147,0,0,0,14,14,6,NE
GRAFTON COUNTY,NH,75733,80871,90365,348,356,397,4,4,6,38,24,34,NE
ATLANTIC COUNTY,NJ,29606,29423,27504,391,384,379,2,2,2,69,70,67,NE
ESSEX COUNTY,NJ,613,580,1204,22,25,33,0,0,0,12,13,19,NE
HUDSON COUNTY,NJ,0,0,0,0,0,0,0,0,0,0,0,0,NE
UNION COUNTY,NJ,325,449,579,28,31,35,0,0,0,16,20,22,NE
CURRY COUNTY,NM,924678,990255,913733,610,659,696,221,241,241,39,57,59,W
DE BACA COUNTY,NM,1343237,1296777,1165799,191,191,204,91,86,88,9,22,23,W
GRANT COUNTY,NM,1209335,1202779,1146966,297,282,250,116,110,107,25,31,21,W
MORA COUNTY,NM,905235,950958,904455,398,401,381,87,84,84,15,8,9,W
SAN JUAN COUNTY,NM,1896131,1857223,1871386,641,650,633,30,29,32,165,169,150,W
VALENCIA COUNTY,NM,349231,318046,420950,575,581,641,15,15,24,241,226,219,W
CHURCHILL COUNTY,NV,268043,366213,356330,529,542,497,17,18,19,52,57,55,W
LANDER COUNTY,NV,494304,460000,442590,72,64,64,24,19,20,10,11,3,W
NYE COUNTY,NV,140380,370496,385722,155,136,123,15,20,26,12,13,9,W
HERKIMER COUNTY,NY,163072,175803,194363,636,708,796,8,6,8,25,28,38,NE
ONONDAGA COUNTY,NY,145329,158276,179015,636,772,835,24,21,22,56,68,77,NE
ROCKLAND COUNTY,NY,831,1107,933,27,27,36,0,0,0,15,10,21,NE
SARATOGA COUNTY,NY,70404,82878,91445,443,528,580,8,5,5,47,48,43,NE
TOMPKINS COUNTY,NY,91822,110609,121068,441,532,567,5,7,9,31,32,25,NE
WASHINGTON COUNTY,NY,205954,240936,256796,745,861,948,19,24,14,33,28,33,NE
AUGLAIZE COUNTY,OH,205105,216855,218861,997,1119,1255,25,21,12,89,108,117,NC
BROWN COUNTY,OH,202188,215624,223585,1493,1605,1768,20,11,9,169,149,185,NC
CLERMONT COUNTY,OH,99214,115999,115629,821,951,1149,15,13,7,95,100,128,NC
GREENE COUNTY,OH,184280,195070,189494,835,903,976,37,36,28,105,122,110,NC
GUERNSEY COUNTY,OH,127867,137708,147369,769,860,937,6,3,5,22,19,19,NC
LAKE COUNTY,OH,17138,18335,20924,272,268,290,2,1,1,61,47,56,NC
MADISON COUNTY,OH,261320,267249,273032,664,735,781,68,60,58,51,66,66,NC
ROSS COUNTY,OH,253383,252889,257872,809,815,903,60,57,51,34,35,32,NC
STARK COUNTY,OH,136612,153302,160620,1120,1306,1375,12,13,7,152,164,145,NC
WARREN COUNTY,OH,129416,136623,154744,792,920,1048,24,22,20,61,73,76,NC
CARTER COUNTY,OK,372901,402260,386472,992,1056,1063,70,75,73,28,48,53,S
JACKSON COUNTY,OK,469883,461133,443464,634,700,671,149,152,135,27,28,35,S
LINCOLN COUNTY,OK,397909,387216,404393,1656,1617,1731,48,45,45,51,53,48,S
TULSA COUNTY,OK,134096,139900,162365,766,913,998,28,18,31,92,137,146,S
CROOK COUNTY,OR,894853,860738,860462,503,415,428,83,80,72,68,59,53,W
CURRY COUNTY,OR,74375,79555,75199,177,160,173,22,28,27,17,8,14,W
WHEELER COUNTY,OR,728131,766422,811460,145,130,124,67,67,66,5,1,6,W
BEAVER COUNTY,PA,57960,59063,59093,512,570,572,0,0,0,33,40,32,NE
BUTLER COUNTY,PA,129323,143817,150462,1012,1199,1279,2,2,3,57,51,72,NE
CARBON COUNTY,PA,19026,21720,20854,147,177,182,1,2,0,19,18,14,NE
CRAWFORD COUNTY,PA,211037,236481,252636,1122,1281,1507,7,8,10,27,42,52,NE
DAUPHIN COUNTY,PA,90298,101692,112821,580,675,776,12,7,7,39,60,58,NE
ELK COUNTY,PA,16371,18609,18449,145,168,156,0,0,0,3,8,3,NE
LACKAWANNA COUNTY,PA,36963,42033,47718,239,299,357,1,1,1,12,16,32,NE
MONROE COUNTY,PA,20777,26898,29597,147,192,207,3,4,1,14,26,13,NE
NORTHUMBERLAND COUNTY,PA,109438,125673,122420,561,675,746,21,19,14,47,57,55,NE
BEAUFORT COUNTY,SC,44800,54152,58664,120,125,149,10,12,16,21,14,14,S
BERKELEY COUNTY,SC,51020,71018,74549,308,350,473,8,11,8,40,56,60,S
LEXINGTON COUNTY,SC,82634,81684,107818,718,702,855,5,4,10,59,70,82,S
OCONEE COUNTY,SC,69897,66023,71589,646,588,634,3,3,4,35,29,24,S
ORANGEBURG COUNTY,SC,262093,292177,340090,910,961,1240,67,72,82,66,68,61,S
SALUDA COUNTY,SC,110679,115950,129640,584,559,638,14,14,17,19,10,15,S
BUTTE COUNTY,SD,1243168,1104452,1120970,541,550,494,181,182,161,29,33,43,NC
CORSON COUNTY,SD,1701991,1698242,1647355,450,492,473,292,319,287,19,30,29,NC
CUSTER COUNTY,SD,462238,477361,418046,323,303,302,113,114,101,11,14,15,NC
DOUGLAS COUNTY,SD,252419,254299,261456,442,478,509,63,50,48,23,32,24,NC
HARDING COUNTY,SD,1657305,1567886,1584596,282,301,274,215,221,225,18,31,11,NC
KINGSBURY COUNTY,SD,460063,465523,478671,614,649,722,143,136,139,32,41,45,NC
POTTER COUNTY,SD,507101,552844,541015,321,371,341,163,180,176,10,24,16,NC
WALWORTH COUNTY,SD,448834,410375,421727,378,360,405,158,163,176,26,22,21,NC
YANKTON COUNTY,SD,271200,269176,249921,692,733,758,50,33,23,34,45,51,NC
DAVIDSON COUNTY,TN,47319,57917,74003,440,561,693,1,1,4,52,47,66,S
GRAINGER COUNTY,TN,104457,108212,109200,1242,1219,1343,4,5,4,204,149,178,S
JACKSON COUNTY,TN,87298,98512,102389,667,732,835,3,7,9,84,79,101,S
JOHNSON COUNTY,TN,54518,62446,66829,828,888,1045,2,2,5,167,168,196,S
LAWRENCE COUNTY,TN,196733,201440,218175,1424,1428,1548,14,17,17,84,88,81,S
LINCOLN COUNTY,TN,275219,279482,294104,1578,1628,1765,24,29,26,73,69,133,S
SEVIER COUNTY,TN,74107,78192,94172,863,953,1176,5,1,5,108,120,169,S
SMITH COUNTY,TN,150309,145507,155634,1115,1123,1299,8,4,2,102,90,162,S
UNION COUNTY,TN,49452,53305,54136,541,612,686,1,1,0,60,69,73,S
ANGELINA COUNTY,TX,103063,103622,118536,669,747,723,9,15,20,45,62,46,S
BAILEY COUNTY,TX,432939,432697,451460,406,443,442,140,118,146,21,28,18,S
BURNET COUNTY,TX,548351,509782,530039,980,889,827,136,122,130,49,52,34,S
CLAY COUNTY,TX,670459,569541,582620,808,836,813,141,143,136,46,56,37,S
ERATH COUNTY,TX,581776,562030,553935,1637,1599,1564,116,109,90,81,80,70,S
FANNIN COUNTY,TX,412632,442247,432504,1411,1533,1576,75,78,71,55,68,63,S
FRIO COUNTY,TX,749504,638480,671340,560,523,526,162,143,147,43,30,16,S
GRAY COUNTY,TX,576013,504506,495937,313,323,350,112,111,107,19,24,37,S
HALL COUNTY,TX,443027,393949,458988,297,296,341,107,103,127,12,13,12,S
HAMILTON COUNTY,TX,461249,415885,438290,933,919,956,115,93,93,36,37,23,S
HAYS COUNTY,TX,463450,297443,210668,704,701,643,64,57,37,47,55,48,S
HUDSPETH COUNTY,TX,2234262,2266986,2136639,131,148,139,76,81,74,4,7,4,S
JIM WELLS COUNTY,TX,517671,502206,461689,689,771,785,117,120,101,32,34,41,S
KERR COUNTY,TX,531206,539371,589223,651,584,529,122,117,115,44,33,29,S
LAMAR COUNTY,TX,424701,406639,388214,1401,1488,1432,89,82,72,77,70,56,S
LEE COUNTY,TX,318658,324657,291929,1545,1583,1447,34,39,24,82,69,60,S
MADISON COUNTY,TX,243989,222574,196322,760,756,708,49,39,36,22,35,19,S
NUECES COUNTY,TX,443224,465658,458844,541,656,735,154,140,126,43,47,55,S
PALO PINTO COUNTY,TX,517272,510757,478296,733,719,655,113,115,102,28,42,25,S
PRESIDIO COUNTY,TX,1695484,1890612,1981461,151,139,137,97,95,80,12,9,9,S
RED RIVER COUNTY,TX,425281,388412,358081,955,1035,1027,94,87,77,21,44,42,S
RUNNELS COUNTY,TX,572607,576671,602788,807,838,867,166,172,158,21,30,17,S
SAN AUGUSTINE COUNTY,TX,54580,54825,60462,293,320,355,7,6,6,11,18,15,S
SWISHER COUNTY,TX,505140,530622,546460,502,546,551,168,166,174,14,19,29,S
WILLACY COUNTY,TX,260892,227319,234422,274,293,322,85,69,61,12,20,29,S
BLAND COUNTY,VA,81768,80349,86720,339,327,354,13,16,16,9,9,13,S
CAROLINE COUNTY,VA,51604,59527,73802,181,200,265,15,19,17,6,8,13,S
DINWIDDIE COUNTY,VA,85954,85205,94204,344,373,496,14,14,10,18,22,23,S
GOOCHLAND COUNTY,VA,51442,57858,60160,232,253,294,10,13,14,9,8,17,S
HIGHLAND COUNTY,VA,96910,94880,103470,298,303,320,11,16,19,17,16,9,S
ISLE OF WIGHT COUNTY,VA,86247,83901,100415,212,245,333,26,22,19,16,14,20,S
NORTHAMPTON COUNTY,VA,52469,50530,62283,162,180,246,11,8,10,11,14,18,S
NORTHUMBERLAND COUNTY,VA,41290,48203,47239,128,159,199,11,9,3,5,2,10,S
NOTTOWAY COUNTY,VA,63991,65154,63692,324,302,381,2,5,4,11,16,27,S
PITTSYLVANIA COUNTY,VA,297064,300699,330402,1389,1583,2024,41,31,23,76,89,159,S
PRINCE GEORGE COUNTY,VA,48889,41268,47083,149,167,191,12,6,6,4,6,2,S
RUSSELL COUNTY,VA,160973,167959,184321,1103,1134,1283,18,21,17,115,112,150,S
SMYTH COUNTY,VA,119973,122808,122879,839,873,959,14,12,12,119,115,139,S
SUFFOLK CITY (IC),VA,83047,87761,94224,268,314,376,22,20,18,22,31,42,S
TAZEWELL COUNTY,VA,138531,137093,142015,494,488,494,25,26,33,28,31,29,S
WESTMORELAND COUNTY,VA,56289,70165,68424,159,181,224,16,20,16,10,10,5,S
RUTLAND COUNTY,VT,132674,140177,166855,493,516,561,11,14,18,38,19,22,NE
CHELAN COUNTY,WA,112085,115566,134619,1240,1411,1351,10,12,15,376,443,401,W
FERRY COUNTY,WA,748088,760670,800517,193,218,241,43,40,46,6,9,5,W
GA RFIELD COUNTY,WA,325472,338197,337134,186,210,214,102,106,98,6,12,11,W
PEND OREILLE COUNTY,WA,55360,62578,63998,205,227,287,10,11,8,4,6,9,W
PIERCE COUNTY,WA,58750,58754,68936,1059,1228,1474,6,3,3,321,393,471,W
WHITMAN COUNTY,WA,1404289,1405412,1400743,1113,1204,1225,524,516,495,50,56,62,W
KEWAUNEE COUNTY,WI,170228,183626,182056,893,991,1124,3,5,3,36,30,37,NC
LA CROSSE COUNTY,WI,182339,193262,202483,789,821,860,11,8,14,43,44,47,NC
OZAUKEE COUNTY,WI,78772,85201,89331,448,483,527,6,5,5,56,49,48,NC
ROCK COUNTY,WI,343115,357751,362206,1398,1518,1680,64,66,55,138,160,165,NC
KANAWHA COUNTY,WV,19956,21369,23073,158,177,199,0,0,0,8,10,10,S
PLEASANTS COUNTY,WV,15650,15716,16097,111,89,98,1,0,0,2,0,1,S
PUTNAM COUNTY,WV,55827,55635,62456,443,470,571,2,2,3,37,35,44,S
