county,state,acres92,acres87,acres82,farms92,farms87,farms82,largef92,largef87,largef82,smallf92,smallf87,smallf82,region
LAUDERDALE COUNTY,AL,201892,199960,213572,1143,1254,1413,37,33,37,57,62,71,S
LAWRENCE COUNTY,AL,173468,188365,201504,915,1123,1226,27,41,34,42,59,85,S
LEE COUNTY,AL,67962,79836,100949,336,402,407,10,10,20,15,22,20,S
LIMESTONE COUNTY,AL,207226,223190,242716,910,1090,1171,49,41,47,51,63,90,S
LOWNDES COUNTY,AL,199714,207753,226744,315,378,440,56,57,51,7,25,24,S
MACON COUNTY,AL,138437,144986,165889,311,370,401,30,34,41,10,9,16,S
MADISON COUNTY,AL,224370,235478,292873,871,977,1101,59,59,61,46,76,89,S
MARENGO COUNTY,AL,199117,220526,231207,434,471,622,48,66,62,14,11,28,S
MARION COUNTY,AL,89228,105586,113618,566,658,748,7,9,9,11,23,27,S
MARSHALL COUNTY,AL,142873,136599,151585,1364,1582,1664,7,4,9,96,117,151,S
MOBILE COUNTY,AL,104342,111397,118881,670,754,883,19,20,22,119,135,173,S
MONROE COUNTY,AL,110066,149361,153040,400,455,540,18,25,21,12,35,41,S
MONTGOMERY COUNTY,AL,231243,269246,323500,598,712,759,61,72,87,26,47,64,S
MORGAN COUNTY,AL,155914,159757,167493,1129,1243,1353,14,10,14,53,63,79,S
PERRY COUNTY,AL,144193,160001,195565,312,341,422,29,34,43,8,17,11,S
PICKENS COUNTY,AL,106206,108861,133757,404,417,525,18,19,20,16,17,24,S
PIKE COUNTY,AL,179319,179660,206874,549,605,733,45,33,42,24,29,53,S
RANDOLPH COUNTY,AL,96435,99726,99220,559,646,695,10,10,6,12,26,20,S
RUSSELL COUNTY,AL,112620,143568,141048,213,276,314,25,30,33,14,14,25,S
ST CLAIR COUNTY,AL,78176,89109,95354,555,634,661,6,8,6,19,37,38,S
SHELBY COUNTY,AL,71697,81391,87103,426,526,516,8,7,7,13,35,26,S
SUMTER COUNTY,AL,167923,208372,209778,336,456,475,41,54,56,10,25,28,S
TALLADEGA COUNTY,AL,104199,114668,128253,472,552,630,18,18,22,13,25,31,S
TALLAPOOSA COUNTY,AL,78889,84837,88532,317,365,391,9,12,8,8,15,14,S
TUSCALOOSA COUNTY,AL,96194,120542,134616,436,521,650,20,17,23,18,32,29,S
WALKER COUNTY,AL,50257,64980,60631,430,559,603,6,7,3,29,46,39,S
WASHINGTON COUNTY,AL,85086,86532,96955,361,416,466,13,15,15,24,29,42,S
WILCOX COUNTY,AL,141260,156950,189079,235,322,399,34,36,45,13,26,34,S
WINSTON COUNTY,AL,56680,57923,63463,559,591,625,0,1,2,25,35,43,S
ARKANSAS COUNTY,AR,411473,454783,445502,490,572,636,164,174,140,6,14,11,S
ASHLEY COUNTY,AR,151325,154580,157924,300,368,335,53,47,53,7,17,14,S
BAXTER COUNTY,AR,92708,103034,101489,433,484,519,12,18,16,8,19,21,S
BENTON COUNTY,AR,293745,302659,295645,2244,2441,2457,21,19,18,138,172,172,S
BOONE COUNTY,AR,250819,242099,241934,1148,1193,1161,31,28,28,38,57,39,S
BRADLEY COUNTY,AR,30196,31795,38793,231,266,332,1,1,1,10,14,16,S
CALHOUN COUNTY,AR,18818,19659,23312,116,127,146,0,0,0,2,1,2,S
CARROLL COUNTY,AR,246184,240838,252536,1031,1045,1081,33,29,29,36,52,47,S
CHICOT COUNTY,AR,269122,320847,323410,344,409,419,91,103,107,3,6,7,S
CLARK COUNTY,AR,98919,114391,130646,356,408,460,15,26,23,12,22,11,S
CLAY COUNTY,AR,313573,309939,301524,622,670,793,96,88,74,21,18,26,S
CLEBURNE COUNTY,AR,108046,116705,118027,653,717,726,7,7,11,23,22,31,S
CLEVELAND COUNTY,AR,34115,36677,41932,223,261,272,2,2,5,11,11,16,S
COLUMBIA COUNTY,AR,57253,66305,80909,320,411,477,6,4,9,17,12,27,S
CONWAY COUNTY,AR,167572,168804,170551,704,721,746,22,29,21,29,39,19,S
CRAIGHEAD COUNTY,AR,350402,351106,345804,781,902,1020,94,78,75,24,36,42,S
CRAWFORD COUNTY,AR,145744,131221,143362,792,902,943,25,21,20,50,56,57,S
CRITTENDEN COUNTY,AR,326808,326411,373697,290,315,334,123,119,119,6,9,1,S
CROSS COUNTY,AR,324539,339830,329775,409,492,497,104,120,100,13,24,17,S
DALLAS COUNTY,AR,20589,18918,25706,108,128,143,0,1,1,6,5,9,S
DESHA COUNTY,AR,262021,294551,295343,324,406,427,96,99,100,6,6,7,S
DREW COUNTY,AR,110260,111573,145559,309,380,424,36,29,41,7,17,15,S
FAULKNER COUNTY,AR,210692,223594,227593,1051,1103,1169,23,32,27,42,41,49,S
FRANKLIN COUNTY,AR,168755,165498,159877,727,721,739,27,24,22,25,27,16,S
FULTON COUNTY,AR,223889,197374,219500,716,712,828,29,24,19,14,32,31,S
GA RLAND COUNTY,AR,42794,41293,39920,371,389,372,1,4,2,22,25,26,S
GRANT COUNTY,AR,37606,33809,35167,191,235,255,3,3,1,8,8,5,S
GREENE COUNTY,AR,251710,252997,245222,739,847,917,62,48,41,27,29,43,S
HEMPSTEAD COUNTY,AR,168848,182876,179395,717,802,834,30,34,26,38,52,49,S
HOT SPRING COUNTY,AR,78498,80267,72175,419,526,512,7,5,5,15,35,18,S
HOWARD COUNTY,AR,105721,102407,111503,658,656,674,13,12,11,42,54,39,S
INDEPENDENCE COUNTY,AR,263182,268244,276070,950,961,976,52,53,52,27,42,41,S
IZARD COUNTY,AR,183895,173516,173988,651,664,679,15,14,18,19,12,12,S
JACKSON COUNTY,AR,367969,360049,356589,450,469,475,124,117,101,15,14,19,S
JEFFERSON COUNTY,AR,281864,279802,295874,351,417,497,105,96,104,19,25,23,S
JOHNSON COUNTY,AR,108913,114283,111448,568,611,663,9,8,7,17,14,22,S
LAFAYETTE COUNTY,AR,107841,110164,121159,252,257,277,31,28,26,14,10,14,S
LAWRENCE COUNTY,AR,281895,291186,281361,666,709,781,74,66,60,5,20,29,S
LEE COUNTY,AR,298547,297284,292134,313,393,512,98,92,83,5,18,20,S
LINCOLN COUNTY,AR,186685,213055,218332,298,356,420,53,65,60,8,9,12,S
LITTLE RIVER COUNTY,AR,143104,146459,140147,354,402,413,26,30,27,9,12,8,S
LOGAN COUNTY,AR,186829,187992,187551,940,995,1058,21,16,14,30,30,42,S
LONOKE COUNTY,AR,382714,382702,415209,836,908,984,116,110,121,54,52,38,S
MADISON COUNTY,AR,268075,260125,254354,1174,1201,1232,27,28,19,34,44,38,S
MARION COUNTY,AR,142856,136684,146795,521,544,570,22,15,19,16,27,14,S
MILLER COUNTY,AR,173861,174502,189440,481,539,515,47,44,41,15,26,21,S
MISSISSIPPI COUNTY,AR,484751,488042,493593,546,615,727,186,176,165,22,18,23,S
MONROE COUNTY,AR,219444,234605,235409,278,306,369,87,86,72,8,6,4,S
MONTGOMERY COUNTY,AR,79803,78026,80610,415,435,443,4,4,3,8,22,15,S
NEVADA COUNTY,AR,69422,80104,83332,387,447,501,6,5,7,11,19,27,S
NEWTON COUNTY,AR,102560,98106,107297,503,562,582,5,7,7,5,21,11,S
OUACHITA COUNTY,AR,32003,44011,41389,182,234,259,2,6,2,6,22,16,S
PERRY COUNTY,AR,67044,69548,64840,368,396,381,6,6,6,13,17,20,S
PHILLIPS COUNTY,AR,357416,343568,365154,352,441,544,108,102,114,9,21,26,S
PIKE COUNTY,AR,70872,68402,81796,407,443,417,6,11,13,18,22,17,S
POINSETT COUNTY,AR,404585,404343,400567,619,643,641,136,128,133,13,13,11,S
POLK COUNTY,AR,122871,112409,113930,791,814,840,7,7,7,44,33,30,S
POPE COUNTY,AR,156363,156212,158963,879,964,909,20,16,17,24,41,41,S
PRAIRIE COUNTY,AR,313232,312903,301134,401,486,489,112,114,87,6,6,7,S
PULASKI COUNTY,AR,111895,141935,146719,396,507,529,30,39,36,39,64,40,S
RANDOLPH COUNTY,AR,253948,250493,239203,663,709,760,53,55,53,19,17,20,S
ST FRANCIS COUNTY,AR,305401,275462,310021,388,422,472,107,94,100,12,6,10,S
SALINE COUNTY,AR,45609,55253,58961,330,427,421,2,0,5,27,35,24,S
SCOTT COUNTY,AR,114762,112523,115791,612,667,661,11,11,10,15,28,23,S
SEARCY COUNTY,AR,195510,196282,197531,616,714,710,32,23,24,11,21,16,S
SEBASTIAN COUNTY,AR,115019,118946,137686,689,738,814,14,12,15,41,50,54,S
SEVIER COUNTY,AR,131353,126457,122126,549,558,567,11,12,16,28,30,23,S
SHARP COUNTY,AR,159013,152416,174381,532,537,549,21,21,21,7,12,16,S
STONE COUNTY,AR,136309,134351,114419,584,628,558,15,9,9,30,30,15,S
UNION COUNTY,AR,31190,34580,43045,257,333,390,1,1,1,16,23,28,S
VAN BUREN COUNTY,AR,119930,122842,133875,513,553,579,11,11,12,16,20,12,S
WASHINGTON COUNTY,AR,352322,362670,345518,2539,2853,2784,29,26,16,201,232,195,S
WHITE COUNTY,AR,358904,381960,405726,1440,1529,1651,50,61,65,45,67,48,S
WOODRUFF COUNTY,AR,274843,269601,270834,248,309,325,92,95,98,7,9,7,S
YELL COUNTY,AR,190363,196674,204927,831,937,953,26,27,27,33,57,54,S
APACHE COUNTY,AZ,5785707,5779528,6231914,332,380,296,101,107,96,50,79,38,W
COCHISE COUNTY,AZ,1891644,2077793,2071868,831,836,785,241,225,215,68,85,57,W
COCONINO COUNTY,AZ,5989961,5905699,5934411,285,294,232,75,71,60,78,119,85,W
GILA COUNTY,AZ,1151284,1189175,1151510,143,157,163,21,24,24,18,29,39,W
GRAHAM COUNTY,AZ,1846497,1852684,1927687,317,323,308,64,52,55,56,51,70,W
GREENLEE COUNTY,AZ,137834,139840,141595,107,102,121,8,15,12,11,11,13,W
LA PAZ COUNTY,AZ,246038,226954,0,101,109,0,31,25,0,6,17,0,W
MARICOPA COUNTY,AZ,729947,1391456,1429539,1856,2334,2403,127,146,161,755,1011,1012,W
MOHAVE COUNTY,AZ,1981938,1906756,2270298,212,236,223,76,79,79,48,68,49,W
NAVAJO COUNTY,AZ,7229585,7687460,7313958,375,376,331,92,94,80,75,100,55,W
PIMA COUNTY,AZ,3472248,3194736,3476555,448,520,539,88,73,91,164,221,212,W
PINAL COUNTY,AZ,1902452,1958489,2403901,611,730,605,140,149,168,108,122,121,W
SANTA CRUZ COUNTY,AZ,334284,346266,379985,164,179,133,42,38,31,10,15,6,W
YAVAPAI COUNTY,AZ,2108834,2358559,2508888,463,484,474,106,110,101,102,117,96,W
YUMA COUNTY,AZ,229365,272399,510425,528,609,721,63,72,96,129,113,113,W
ALAMEDA COUNTY,CA,286288,241276,297530,482,692,739,39,43,49,138,234,264,W
ALPINE COUNTY,CA,4768,6987,7352,6,8,5,2,2,3,1,2,0,W
AMADOR COUNTY,CA,236222,218532,198135,367,371,359,32,39,34,34,31,39,W
BUTTE COUNTY,CA,452347,494530,467426,1944,2030,1785,72,90,109,531,553,489,W
CALAVERAS COUNTY,CA,246077,253421,214881,438,431,405,56,58,59,63,43,46,W
COLUSA COUNTY,CA,450236,456266,443734,836,764,662,98,112,110,62,47,58,W
CONTRA COSTA COUNTY,CA,163036,200262,265319,675,840,962,37,53,62,255,336,380,W
DEL NORTE COUNTY,CA,12594,13139,17270,86,84,119,3,2,2,28,21,24,W
EL DORADO COUNTY,CA,102028,128135,146644,690,738,721,13,20,20,185,166,172,W
FRESNO COUNTY,CA,1774664,1975373,2072200,7021,7590,7394,351,333,343,1116,1234,1255,W
GLENN COUNTY,CA,473920,490732,521998,1187,1170,1125,104,119,111,150,145,138,W
HUMBOLDT COUNTY,CA,597766,616267,648820,874,890,876,114,109,109,139,134,120,W
IMPERIAL COUNTY,CA,532866,542958,559423,657,804,797,151,155,150,84,119,127,W
INYO COUNTY,CA,247550,219816,300594,79,94,97,17,17,18,19,20,17,W
KERN COUNTY,CA,2839531,3037068,3142057,1995,2255,2133,346,355,337,364,438,416,W
KINGS COUNTY,CA,775829,702173,808084,1092,1204,1187,97,83,87,224,246,254,W
LAKE COUNTY,CA,164130,154903,153466,815,873,824,35,25,25,217,210,189,W
LASSEN COUNTY,CA,487499,517976,555958,312,413,418,85,91,83,14,40,39,W
LOS ANGELES COUNTY,CA,183569,280156,317757,1446,2035,2331,26,50,50,929,1300,1563,W
MADERA COUNTY,CA,749465,757263,665249,1709,1746,1704,139,131,127,172,182,182,W
MARIN COUNTY,CA,168879,167590,165935,260,285,274,67,66,64,22,49,40,W
MARIPOSA COUNTY,CA,206138,236709,231183,256,255,250,48,54,50,23,18,20,W
MENDOCINO COUNTY,CA,725118,777264,782999,1088,1067,1084,118,128,132,161,132,155,W
MERCED COUNTY,CA,978831,1049302,1163126,2879,3048,2951,180,179,185,382,449,452,W
MODOC COUNTY,CA,686876,729023,747787,466,495,536,129,133,125,27,30,23,W
MONO COUNTY,CA,103294,72900,77731,73,76,70,16,18,21,12,7,5,W
MONTEREY COUNTY,CA,1372778,1384702,1345780,1245,1364,1347,223,243,232,227,330,308,W
NAPA COUNTY,CA,235290,258197,231037,1227,1197,1087,48,54,47,315,267,251,W
NEVADA COUNTY,CA,72471,56179,79402,415,386,363,14,13,19,109,99,76,W
ORANGE COUNTY,CA,60740,108887,165262,379,504,574,8,7,13,214,276,319,W
PLACER COUNTY,CA,137723,168223,182792,1125,1233,1335,34,31,37,339,371,397,W
PLUMAS COUNTY,CA,119514,88132,103289,125,109,112,26,22,24,12,16,14,W
RIVERSIDE COUNTY,CA,423602,491150,501688,3511,3874,3907,83,96,98,1503,1609,1618,W
SACRAMENTO COUNTY,CA,379044,412225,422156,1427,1586,1845,90,80,92,432,474,581,W
SAN BENITO COUNTY,CA,600073,631888,619225,611,704,645,108,115,99,137,148,118,W
SAN BERNARDINO COUNTY,CA,1287057,1682364,2120834,1653,1938,2073,33,28,41,771,884,966,W
SAN DIEGO COUNTY,CA,517860,529964,624528,6565,6259,6180,65,69,83,4298,3654,3522,W
SAN FRANCISCO COUNTY,CA,7,-99,19,6,5,7,0,0,0,6,5,7,W
SAN JOAQUIN COUNTY,CA,783715,823729,891663,4097,4366,4475,165,179,178,892,926,981,W
SAN LUIS OBISPO COUNTY,CA,1324403,1444385,1530392,1880,1991,1754,252,251,229,313,379,324,W
SAN MATEO COUNTY,CA,57418,63511,69918,302,330,322,14,16,23,101,128,125,W
SANTA BARBARA COUNTY,CA,836989,869969,840732,1613,1756,1524,156,157,146,508,638,560,W
SANTA CLARA COUNTY,CA,342653,347504,329341,1057,1312,1518,52,54,48,456,596,705,W
SANTA CRUZ COUNTY,CA,52905,55205,57418,771,813,820,10,9,10,304,314,314,W
SHASTA COUNTY,CA,388084,377352,405180,844,899,990,81,84,84,224,226,262,W
SIERRA COUNTY,CA,55446,51352,53373,53,46,61,16,12,12,2,1,7,W
SISKIYOU COUNTY,CA,647446,669385,711269,689,765,796,124,144,138,37,44,44,W
SOLANO COUNTY,CA,340328,321297,355539,850,895,910,81,91,97,198,212,201,W
SONOMA COUNTY,CA,517114,549539,586447,2737,3039,3073,110,110,124,828,903,934,W
STANISLAUS COUNTY,CA,759649,719845,807199,4354,4630,4611,139,127,123,1068,1190,1209,W
SUTTER COUNTY,CA,318156,355973,351907,1362,1438,1283,70,76,86,225,226,231,W
TEHAMA COUNTY,CA,1016851,1104584,1168247,1381,1420,1424,124,130,126,240,237,229,W
TRINITY COUNTY,CA,116083,104010,126779,113,133,134,11,12,12,22,24,17,W
TULARE COUNTY,CA,1354262,1410172,1337014,5469,5911,5568,244,253,226,1216,1302,1106,W
TUOLUMNE COUNTY,CA,137530,121119,110680,249,271,254,32,27,29,47,49,32,W
VENTURA COUNTY,CA,320597,328960,300587,2195,2120,2064,60,62,53,857,740,754,W
YOLO COUNTY,CA,518907,505597,541930,912,1011,970,116,120,123,116,150,152,W
YUBA COUNTY,CA,234781,222748,212609,719,654,629,34,36,48,116,93,120,W
ADAMS COUNTY,CO,685813,711874,727987,657,701,763,150,154,157,93,117,165,W
ALAMOSA COUNTY,CO,207448,209556,225806,303,327,306,47,40,46,13,23,8,W
ARAPAHOE COUNTY,CO,322823,295183,285440,269,285,301,73,76,67,38,55,43,W
ARCHULETA COUNTY,CO,155465,161009,137561,160,152,128,33,33,30,10,6,6,W
BACA COUNTY,CO,1257229,1304716,1283371,562,612,643,305,325,359,16,25,14,W
BENT COUNTY,CO,796892,855503,761037,268,292,301,90,102,101,15,24,34,W
BOULDER COUNTY,CO,157493,155488,161545,746,752,761,34,29,30,135,122,145,W
CHAFFEE COUNTY,CO,84172,105275,110424,157,160,135,18,25,22,10,19,9,W
CHEYENNE COUNTY,CO,914094,862745,945622,305,325,307,220,225,213,3,3,8,W
CLEAR CREEK COUNTY,CO,7129,8435,4060,14,11,7,3,3,2,0,0,0,W
CONEJOS COUNTY,CO,304592,301699,317135,452,439,435,66,66,60,22,18,19,W
COSTILLA COUNTY,CO,330826,292125,270548,185,191,192,21,24,28,4,3,4,W
CROWLEY COUNTY,CO,423785,408649,450348,204,187,218,71,66,67,6,16,22,W
CUSTER COUNTY,CO,156801,150334,223851,131,130,130,40,39,42,7,9,7,W
DELTA COUNTY,CO,260728,269036,243111,943,900,937,60,57,50,84,74,99,W
DENVER COUNTY,CO,-99,44,-99,16,17,36,1,0,0,8,15,24,W
DOLORES COUNTY,CO,167106,159872,167366,132,130,152,50,47,53,4,0,1,W
DOUGLAS COUNTY,CO,231364,212011,227196,522,454,401,54,52,52,61,70,55,W
EAGLE COUNTY,CO,213004,213441,201657,134,147,124,29,35,30,9,7,12,W
ELBERT COUNTY,CO,1105614,1015333,1010396,717,679,611,237,225,235,45,44,29,W
EL PASO COUNTY,CO,857404,917824,895999,721,711,760,170,162,184,65,79,87,W
FREMONT COUNTY,CO,331639,305137,335909,467,412,368,67,67,58,132,89,69,W
GA RFIELD COUNTY,CO,440581,483929,457802,448,480,407,81,91,81,42,49,25,W
GILPIN COUNTY,CO,13296,15540,9365,14,15,15,4,3,2,1,0,2,W
GRAND COUNTY,CO,299142,319578,284306,149,163,138,56,75,52,13,6,8,W
GUNNISON COUNTY,CO,177333,225220,253277,173,173,170,48,54,62,7,12,9,W
HINSDALE COUNTY,CO,9021,9899,10920,16,16,19,2,2,3,2,0,0,W
HUERFANO COUNTY,CO,641755,643050,704771,253,243,252,107,106,114,19,15,9,W
JACKSON COUNTY,CO,472018,460078,449137,126,126,123,76,79,92,9,14,10,W
JEFFERSON COUNTY,CO,103470,92351,114389,419,446,475,26,24,28,137,159,187,W
KIOWA COUNTY,CO,878447,996785,910578,309,328,327,180,202,192,4,15,15,W
KIT CARSON COUNTY,CO,1341738,1415879,1298079,718,793,763,394,411,370,18,35,38,W
LAKE COUNTY,CO,14411,11045,10303,18,14,17,4,3,2,1,2,3,W
LA PLATA COUNTY,CO,587339,613579,589167,709,682,625,67,79,66,25,39,33,W
LARIMER COUNTY,CO,540412,574802,548063,1233,1233,1129,91,94,96,179,235,194,W
LAS ANIMAS COUNTY,CO,2286947,2149828,2137550,490,481,484,214,216,209,13,31,13,W
LINCOLN COUNTY,CO,1660146,1615140,1492271,447,489,466,294,302,287,9,14,25,W
LOGAN COUNTY,CO,1066453,1081703,1071104,897,945,908,314,304,305,40,69,49,W
MESA COUNTY,CO,420233,436841,440927,1325,1223,1310,73,70,79,331,274,283,W
MINERAL COUNTY,CO,15539,12033,11573,17,11,14,5,5,5,0,0,1,W
MOFFAT COUNTY,CO,1159813,1032623,1050068,350,330,296,134,148,137,8,21,18,W
MONTEZUMA COUNTY,CO,834018,843904,846678,661,623,622,70,76,68,33,49,35,W
MONTROSE COUNTY,CO,447412,430594,426729,812,826,808,76,84,88,64,66,61,W
MORGAN COUNTY,CO,751517,743263,696308,836,800,846,164,188,159,58,57,72,W
OTERO COUNTY,CO,633279,731609,624009,509,491,536,78,70,73,44,43,63,W
OURAY COUNTY,CO,119287,-99,173095,76,88,85,28,28,32,2,4,3,W
PARK COUNTY,CO,388902,400090,404910,166,162,146,55,50,57,12,10,10,W
PHILLIPS COUNTY,CO,459659,450277,463171,375,417,427,166,162,159,14,24,20,W
PITKIN COUNTY,CO,32072,33401,46075,71,70,67,11,12,14,1,3,6,W
PROWERS COUNTY,CO,1004360,882165,930934,530,510,518,187,183,192,32,49,35,W
PUEBLO COUNTY,CO,896994,892183,974578,617,615,630,131,141,132,89,94,90,W
RIO BLANCO COUNTY,CO,546538,505471,428943,240,231,184,87,83,76,18,19,9,W
RIO GRANDE COUNTY,CO,219612,221155,237559,339,345,352,51,45,43,11,16,11,W
ROUTT COUNTY,CO,576397,589386,609294,438,405,362,127,127,124,9,27,13,W
SAGUACHE COUNTY,CO,462086,472194,485403,250,254,244,87,83,85,6,9,11,W
SAN JUAN COUNTY,CO,-99,-99,-99,1,3,1,1,0,0,0,0,0,W
SAN MIGUEL COUNTY,CO,200674,169253,156956,97,84,78,30,29,20,3,4,5,W
SEDGWICK COUNTY,CO,310394,324286,324967,230,263,253,90,114,103,6,11,5,W
SUMMIT COUNTY,CO,38467,34368,38109,22,21,24,7,8,8,1,2,3,W
TELLER COUNTY,CO,104010,83281,75437,81,67,65,19,21,17,7,5,5,W
WASHINGTON COUNTY,CO,1333577,1391208,1365488,784,854,854,402,412,405,29,35,43,W
WELD COUNTY,CO,2086292,2105149,1981317,2909,2975,3059,411,426,405,296,336,316,W
YUMA COUNTY,CO,1433111,1478313,1416155,932,975,996,421,417,433,51,54,79,W
FAIRFIELD COUNTY,CT,9975,13695,17845,241,261,275,0,0,0,92,81,71,NE
HARTFORD COUNTY,CT,56510,60277,67606,628,656,712,3,4,6,114,112,134,NE
LITCHFIELD COUNTY,CT,86581,95321,103942,607,619,640,8,8,5,82,63,58,NE
MIDDLESEX COUNTY,CT,19830,23743,23191,256,259,289,1,1,0,45,47,50,NE
NEW HAVEN COUNTY,CT,25882,26203,30024,381,407,440,1,1,1,94,91,129,NE
NEW LONDON COUNTY,CT,65987,74063,82709,550,556,573,1,1,2,66,55,52,NE
TOLLAND COUNTY,CT,38715,40732,44872,326,338,308,6,5,7,57,38,36,NE
WINDHAM COUNTY,CT,55263,64366,74053,438,484,517,6,7,9,56,73,64,NE
KENT COUNTY,DE,197375,201444,210109,782,857,1009,41,46,37,60,73,87,NE
NEW CASTLE COUNTY,DE,87134,93998,102023,336,380,488,25,25,18,35,35,51,NE
SUSSEX COUNTY,DE,304680,312803,343333,1515,1729,1841,65,57,61,326,406,365,NE
ALACHUA COUNTY,FL,191140,192255,219337,1089,1161,1106,43,41,47,129,121,100,S
BAKER COUNTY,FL,24489,27937,32156,193,220,232,3,4,4,36,22,31,S
BAY COUNTY,FL,9135,11448,18676,63,85,93,2,1,3,15,28,35,S
BRADFORD COUNTY,FL,36230,41178,40709,315,349,399,4,5,4,22,39,23,S
BREVARD COUNTY,FL,199724,165082,193971,496,495,540,31,19,25,200,182,177,S
BROWARD COUNTY,FL,23735,35909,74983,393,448,479,5,8,11,248,248,251,S
CALHOUN COUNTY,FL,43314,48166,55986,132,159,169,13,12,17,8,10,13,S
CHARLOTTE COUNTY,FL,227202,214364,217117,214,197,139,22,20,21,38,30,23,S
CITRUS COUNTY,FL,70672,74264,93183,288,331,293,11,9,14,55,46,45,S
CLAY COUNTY,FL,86026,83994,106280,210,244,244,12,13,13,44,50,43,S
COLLIER COUNTY,FL,301977,332177,279754,254,224,196,50,53,46,52,50,40,S
COLUMBIA COUNTY,FL,96968,98620,116586,523,535,573,12,13,14,38,34,36,S
DADE COUNTY,FL,83681,83061,87420,1891,1623,1483,13,14,15,1129,877,777,S
DE SOTO COUNTY,FL,334623,351402,347957,804,654,541,55,45,37,127,96,62,S
DIXIE COUNTY,FL,31693,56416,255854,106,114,118,3,9,11,13,16,9,S
DUVAL COUNTY,FL,40039,41766,71472,378,434,470,8,8,13,146,148,171,S
ESCAMBIA COUNTY,FL,57179,65426,78533,454,502,522,5,5,7,70,76,62,S
