county,state,acres92,acres87,acres82,farms92,farms87,farms82,largef92,largef87,largef82,smallf92,smallf87,smallf82,region,rn,strwt
WARREN COUNTY,IA,302487,303783,320840,1216,1310,1394,54,47,44,68,86,91,NC,91,10.23300971
KNOX COUNTY,NE,612694,614959,641105,1086,1212,1280,156,134,142,69,91,81,NC,789,10.23300971
BARRY COUNTY,MI,165371,168493,188096,833,908,1061,21,18,11,30,35,29,NC,406,10.23300971
DOUGLAS COUNTY,IL,259498,271098,276455,682,807,845,74,59,47,69,74,56,NC,120,10.23300971
JEFFERSON COUNTY,WI,232591,256282,269791,1280,1440,1602,20,15,16,79,84,101,NC,1010,10.23300971
MINNEHAHA COUNTY,SD,425288,432472,425971,1262,1382,1490,78,62,41,73,88,96,NC,965,10.23300971
WOOD COUNTY,WI,221357,236904,242248,1029,1157,1253,18,18,16,39,42,52,NC,1054,10.23300971
WAUPACA COUNTY,WI,241778,272429,274368,1190,1365,1488,12,17,13,53,69,67,NC,1051,10.23300971
GRUNDY COUNTY,MO,226336,223823,245418,618,650,740,54,52,51,19,30,35,NC,608,10.23300971
LOUISA COUNTY,IA,191291,198855,208670,554,634,699,30,28,21,29,43,43,NC,58,10.23300971
GRAY COUNTY,KS,517623,532284,536969,497,547,552,181,183,170,20,37,23,NC,328,10.23300971
HALL COUNTY,NE,316551,306869,304925,744,788,794,66,59,54,71,70,76,NC,775,10.23300971
STONE COUNTY,MO,137747,148207,160233,698,782,824,16,15,13,21,41,35,NC,672,10.23300971
BOLLINGER COUNTY,MO,197530,193547,210806,786,860,994,33,19,22,18,33,25,NC,577,10.23300971
SHELBY COUNTY,IL,402212,422071,420047,1305,1431,1599,73,61,43,76,93,81,NC,186,10.23300971
FAIRFIELD COUNTY,OH,197736,214316,221802,1058,1217,1322,31,30,25,84,79,88,NC,851,10.23300971
DODGE COUNTY,NE,298854,321996,310513,855,962,977,61,53,38,88,98,75,NC,762,10.23300971
TRIPP COUNTY,SD,1006831,960092,937667,741,770,713,329,338,336,38,33,34,NC,977,10.23300971
WAYNE COUNTY,IN,189467,196898,200759,828,888,1000,32,26,13,57,59,73,NC,290,10.23300971
EFFINGHAM COUNTY,IL,257761,258305,255895,1140,1228,1261,23,16,15,75,85,71,NC,124,10.23300971
ATCHISON COUNTY,MO,304032,321878,306986,509,622,669,88,80,61,22,36,19,NC,571,10.23300971
WASECA COUNTY,MN,237239,231788,247571,759,813,878,34,23,25,41,63,65,NC,562,10.23300971
CALHOUN COUNTY,MI,244927,253383,266680,1080,1166,1281,27,30,27,59,34,41,NC,411,10.23300971
CODINGTON COUNTY,SD,392935,341159,352025,658,636,675,121,100,95,33,27,47,NC,930,10.23300971
WATONWAN COUNTY,MN,249731,252824,260395,663,748,885,38,30,25,30,44,58,NC,564,10.23300971
ELKHART COUNTY,IN,192311,204547,213225,1447,1556,1678,20,22,14,236,234,239,NC,221,10.23300971
ROCK COUNTY,WI,343115,357751,362206,1398,1518,1680,64,66,55,138,160,165,NC,1036,10.23300971
NEMAHA COUNTY,NE,226042,241335,239728,511,591,614,56,55,36,26,28,27,NC,799,10.23300971
LINN COUNTY,IA,349252,356000,368525,1529,1690,1810,44,35,27,134,135,128,NC,57,10.23300971
THAYER COUNTY,NE,347598,380147,362375,623,744,707,100,120,91,32,44,32,NC,820,10.23300971
SALINE COUNTY,NE,312079,342898,331520,742,881,905,63,58,38,56,47,39,NC,811,10.23300971
THURSTON COUNTY,NE,193556,193365,204344,386,462,535,41,33,24,17,31,33,NC,822,10.23300971
HENDERSON COUNTY,IL,203974,212513,211574,468,522,562,48,41,36,35,22,26,NC,135,10.23300971
DEARBORN COUNTY,IN,86236,90024,99239,738,796,905,2,1,0,34,33,42,NC,216,10.23300971
EMMONS COUNTY,ND,834293,866121,813645,759,868,849,352,355,328,15,6,24,NC,697,10.23300971
REPUBLIC COUNTY,KS,443290,440215,441118,746,833,923,140,135,112,28,42,43,NC,372,10.23300971
ISANTI COUNTY,MN,131563,142998,153003,680,817,947,18,14,8,14,26,34,NC,511,10.23300971
WARREN COUNTY,OH,129416,136623,154744,792,920,1048,24,22,20,61,73,76,NC,911,10.23300971
WORTH COUNTY,MO,134028,144572,155282,327,367,389,27,26,25,11,11,13,NC,681,10.23300971
POTTAWATOMIE COUNTY,KS,451362,443660,464739,777,790,869,129,124,122,26,50,48,NC,368,10.23300971
VINTON COUNTY,OH,41666,43303,50514,205,217,249,3,4,3,10,6,5,NC,910,10.23300971
BROWN COUNTY,MN,347420,335559,339037,1190,1317,1390,33,16,15,60,88,96,NC,489,10.23300971
BOND COUNTY,IL,182572,186777,193237,629,714,824,28,35,30,32,50,35,NC,102,10.23300971
CHEYENNE COUNTY,KS,592207,619870,602726,426,493,546,189,222,221,10,17,33,NC,305,10.23300971
BOYD COUNTY,NE,296164,293720,282981,395,443,442,99,91,93,28,39,35,NC,743,10.23300971
CASS COUNTY,NE,296016,338390,316564,721,913,915,88,91,59,56,72,56,NC,748,10.23300971
CHESTER COUNTY,PA,176643,189943,219980,1367,1573,1825,21,18,20,172,211,263,NE,149,10.47619048
OSWEGO COUNTY,NY,112334,122648,139440,659,749,826,3,4,4,40,35,32,NE,110,10.47619048
MONTOUR COUNTY,PA,41347,41870,48815,249,270,314,2,4,4,8,15,22,NE,181,10.47619048
NEW LONDON COUNTY,CT,65987,74063,82709,550,556,573,1,1,2,66,55,52,NE,6,10.47619048
CUMBERLAND COUNTY,ME,53893,57745,62096,440,456,507,2,3,3,84,59,54,NE,28,10.47619048
FULTON COUNTY,PA,88982,99920,104793,438,467,491,5,5,7,10,9,8,NE,163,10.47619048
ESSEX COUNTY,VT,17710,22237,26028,74,81,90,3,2,4,8,2,0,NE,211,10.47619048
PLYMOUTH COUNTY,MA,72247,77140,80392,668,775,649,12,10,6,153,158,121,NE,23,10.47619048
MONROE COUNTY,PA,20777,26898,29597,147,192,207,3,4,1,14,26,13,NE,179,10.47619048
CLINTON COUNTY,NY,158392,172734,206396,488,591,705,14,9,14,19,25,23,NE,82,10.47619048
ST LAWRENCE COUNTY,NY,396721,456497,493073,1367,1602,1807,41,30,20,37,46,35,NE,117,10.47619048
MORRIS COUNTY,NJ,23915,27086,25576,395,430,385,1,1,1,116,134,104,NE,65,10.47619048
CUMBERLAND COUNTY,PA,141919,153746,163186,940,1100,1174,7,7,6,60,86,84,NE,155,10.47619048
YATES COUNTY,NY,102024,113922,112344,602,619,617,3,9,8,18,29,32,NE,134,10.47619048
DELAWARE COUNTY,NY,192116,225899,297071,716,883,1067,15,14,21,28,56,40,NE,85,10.47619048
NEW YORK COUNTY,NY,0,0,0,0,0,0,0,0,0,0,0,0,NE,103,10.47619048
ULSTER COUNTY,NY,69643,78437,85203,433,539,570,9,6,8,54,84,57,NE,128,10.47619048
UNION COUNTY,PA,63159,64622,72935,451,505,524,3,0,1,16,33,36,NE,194,10.47619048
SULLIVAN COUNTY,PA,30613,30496,35654,142,165,187,3,1,1,7,9,3,NE,191,10.47619048
MONTGOMERY COUNTY,NY,138822,156368,164000,537,616,657,9,7,6,16,21,21,NE,101,10.47619048
LEHIGH COUNTY,PA,82982,96931,95302,427,541,574,15,16,11,66,74,61,NE,173,10.47619048
LAMPASAS COUNTY,TX,432379,404876,431276,689,615,611,110,107,101,21,25,24,S,1116,10.23703704
MONROE COUNTY,GA,44599,39407,58630,179,160,172,5,7,9,12,9,11,S,311,10.23703704
LOVING COUNTY,TX,346653,415540,350350,14,17,15,13,12,10,0,1,1,S,1126,10.23703704
FISHER COUNTY,TX,545666,504096,507523,547,629,688,153,142,134,17,28,23,S,1051,10.23703704
SEMINOLE COUNTY,OK,250958,256310,256094,872,990,1030,29,35,33,34,31,34,S,824,10.23703704
LINCOLN COUNTY,KY,173892,184377,181006,1444,1475,1611,11,7,8,185,181,236,S,437,10.23703704
SEVIER COUNTY,AR,131353,126457,122126,549,558,567,11,12,16,28,30,23,S,134,10.23703704
GWINNETT COUNTY,GA,24239,29435,33762,345,441,492,1,1,1,51,60,44,S,276,10.23703704
FULTON COUNTY,GA,21975,32832,42527,235,344,379,3,5,6,40,58,61,S,269,10.23703704
SUMTER COUNTY,SC,138573,152452,177061,406,488,567,40,45,45,45,54,56,S,877,10.23703704
CHATHAM COUNTY,GA,8518,10641,12715,40,51,59,4,4,5,10,8,15,S,234,10.23703704
GREENBRIER COUNTY,WV,179736,191525,200127,705,729,790,29,33,31,31,23,23,S,1340,10.23703704
TUCKER COUNTY,WV,32093,32123,36723,169,160,175,3,4,6,3,7,2,S,1374,10.23703704
CARROLL COUNTY,MS,151743,173064,188333,394,431,490,32,34,33,8,12,11,S,583,10.23703704
QUITMAN COUNTY,MS,186297,199767,212667,219,256,323,57,66,73,6,7,6,S,635,10.23703704
HALE COUNTY,TX,560355,582208,610359,774,818,832,193,160,172,21,49,29,S,1070,10.23703704
STERLING COUNTY,TX,835337,675977,726837,74,75,78,54,54,58,4,5,2,S,1191,10.23703704
MONTGOMERY COUNTY,MD,82470,103377,106157,561,669,675,15,17,20,83,90,90,S,567,10.23703704
MONTGOMERY COUNTY,MS,80272,97454,110766,290,307,374,15,18,21,13,10,19,S,624,10.23703704
SABINE PARISH,LA,57789,58112,65071,414,468,527,1,2,4,15,20,28,S,531,10.23703704
CRAIGHEAD COUNTY,AR,350402,351106,345804,781,902,1020,94,78,75,24,36,42,S,83,10.23703704
UNION COUNTY,NC,167379,170378,202639,1037,1086,1263,30,31,32,72,93,79,S,747,10.23703704
CARTER COUNTY,OK,372901,402260,386472,992,1056,1063,70,75,73,28,48,53,S,767,10.23703704
DECATUR COUNTY,GA,168593,163114,194568,342,376,484,47,45,53,17,27,30,S,252,10.23703704
CHOWAN COUNTY,NC,53902,50446,54749,179,220,259,14,12,8,10,20,26,S,678,10.23703704
HILLSBOROUGH COUNTY,FL,265443,287951,329293,2760,2754,2748,45,51,48,812,786,741,S,171,10.23703704
CLAYTON COUNTY,GA,4519,8028,7137,56,73,81,0,1,0,12,12,14,S,240,10.23703704
LOWNDES COUNTY,AL,199714,207753,226744,315,378,440,56,57,51,7,25,24,S,43,10.23703704
LIBERTY COUNTY,GA,15583,18248,19965,49,41,61,3,4,4,7,1,5,S,298,10.23703704
RUSK COUNTY,TX,268058,271230,281569,1226,1327,1372,36,35,46,62,60,52,S,1176,10.23703704
TROUSDALE COUNTY,TN,55097,58550,58921,389,439,501,3,3,3,50,65,85,S,965,10.23703704
PERQUIMANS COUNTY,NC,68736,75808,86376,226,272,343,19,11,9,23,25,21,S,729,10.23703704
JEFFERSON COUNTY,WV,74268,83079,87648,334,363,398,13,16,15,23,26,17,S,1346,10.23703704
OGLETHORPE COUNTY,GA,55310,63352,69948,303,314,351,9,10,12,19,9,13,S,318,10.23703704
GA RFIELD COUNTY,OK,662121,633271,659095,1152,1182,1261,205,186,192,66,66,62,S,781,10.23703704
DALE COUNTY,AL,134555,129105,134743,403,490,582,30,23,21,22,26,38,S,23,10.23703704
CULLMAN COUNTY,AL,196859,193771,206050,2086,2210,2303,5,6,9,122,165,176,S,22,10.23703704
DUVAL COUNTY,TX,801159,996776,970827,946,1151,1074,149,172,158,19,33,32,S,1041,10.23703704
SAMPSON COUNTY,NC,266067,263626,263007,1342,1477,1818,52,31,19,103,102,151,S,739,10.23703704
CAMPBELL COUNTY,VA,134474,134093,143127,612,628,740,18,17,16,31,33,59,S,1245,10.23703704
GREENE COUNTY,NC,112291,117207,107523,407,510,670,20,9,5,17,27,43,S,697,10.23703704
CARTER COUNTY,KY,112831,118340,118009,986,1025,1088,3,4,4,108,136,135,S,390,10.23703704
GA TES COUNTY,NC,64532,68992,67985,199,251,282,16,15,6,21,27,23,S,694,10.23703704
ORLEANS PARISH,LA,100,11,13,17,7,8,0,0,0,14,7,8,S,524,10.23703704
HAYS COUNTY,TX,463450,297443,210668,704,701,643,64,57,37,47,55,48,S,1080,10.23703704
EASTLAND COUNTY,TX,493227,433691,469113,1120,1085,1111,97,78,82,41,46,28,S,1042,10.23703704
TALBOT COUNTY,GA,38313,38854,41585,127,128,144,6,6,7,4,3,3,S,339,10.23703704
DODDRIDGE COUNTY,WV,59184,57795,59608,261,272,279,6,3,4,6,3,0,S,1336,10.23703704
HICKMAN COUNTY,TN,130167,129661,130045,642,650,704,12,13,8,25,29,38,S,921,10.23703704
BURKE COUNTY,NC,31671,34833,35776,348,366,409,1,0,1,30,41,45,S,669,10.23703704
HOUSTON COUNTY,TX,417187,422172,450995,1360,1421,1387,77,75,73,53,56,30,S,1088,10.23703704
HALL COUNTY,TX,443027,393949,458988,297,296,341,107,103,127,12,13,12,S,1071,10.23703704
MCCRACKEN COUNTY,KY,62766,70148,72377,404,434,555,12,14,7,37,43,59,S,441,10.23703704
MCCREARY COUNTY,KY,13887,11584,10946,114,116,125,0,0,0,3,8,7,S,442,10.23703704
HART COUNTY,KY,200455,194172,189316,1582,1518,1607,5,8,4,194,195,247,S,418,10.23703704
SARASOTA COUNTY,FL,151242,166766,206976,328,352,317,23,21,26,107,82,90,S,200,10.23703704
PICKENS COUNTY,AL,106206,108861,133757,404,417,525,18,19,20,16,17,24,S,54,10.23703704
KING COUNTY,TX,436040,409706,418003,34,50,45,20,21,20,1,4,1,S,1110,10.23703704
SALINE COUNTY,AR,45609,55253,58961,330,427,421,2,0,5,27,35,24,S,130,10.23703704
CALHOUN COUNTY,FL,43314,48166,55986,132,159,169,13,12,17,8,10,13,S,149,10.23703704
PRESIDIO COUNTY,TX,1695484,1890612,1981461,151,139,137,97,95,80,12,9,9,S,1164,10.23703704
CLARK COUNTY,KY,144904,155437,147236,966,947,1018,22,23,19,121,103,115,S,393,10.23703704
JASPER COUNTY,SC,72500,102205,103145,146,150,189,13,13,15,16,12,13,S,861,10.23703704
OCHILTREE COUNTY,TX,593819,607038,612836,374,391,394,188,186,190,6,22,12,S,1154,10.23703704
CALLOWAY COUNTY,KY,137337,137781,152270,694,749,949,32,21,21,108,95,133,S,386,10.23703704
HABERSHAM COUNTY,GA,36074,39886,42024,455,452,409,1,2,2,58,62,51,S,277,10.23703704
COFFEE COUNTY,TN,132388,143496,152296,838,887,979,19,15,18,50,61,61,S,896,10.23703704
TAYLOR COUNTY,TX,509017,431408,435628,915,903,911,141,114,111,73,66,50,S,1196,10.23703704
HAYWOOD COUNTY,NC,69961,79672,81070,812,912,1043,5,6,6,155,166,224,S,701,10.23703704
BECKHAM COUNTY,OK,493631,495415,498195,732,815,780,150,137,135,36,51,39,S,762,10.23703704
COTTON COUNTY,OK,358446,347784,362443,540,513,560,120,115,114,22,25,27,S,774,10.23703704
DALLAS COUNTY,AR,20589,18918,25706,108,128,143,0,1,1,6,5,9,S,87,10.23703704
ORANGE COUNTY,VA,107700,113175,118613,419,424,461,20,22,22,20,17,15,S,1295,10.23703704
SMITH COUNTY,TX,247626,249326,246909,1609,1701,1689,26,30,35,119,113,102,S,1187,10.23703704
ITAWAMBA COUNTY,MS,76673,78932,98384,417,452,600,10,6,6,18,17,28,S,604,10.23703704
NASH COUNTY,NC,179051,184304,214759,560,692,997,44,41,38,62,66,72,S,721,10.23703704
WASHINGTON COUNTY,TX,328367,338840,305119,1903,1983,1839,43,44,27,104,91,98,S,1214,10.23703704
WARREN COUNTY,KY,252817,239462,245457,1956,1866,2113,20,19,16,205,176,282,S,482,10.23703704
DICKENS COUNTY,TX,561521,439124,513862,270,285,330,93,86,85,5,12,11,S,1038,10.23703704
ORANGE COUNTY,NC,67491,81108,90575,433,522,599,6,6,4,27,31,45,S,725,10.23703704
HOPKINS COUNTY,KY,144828,144862,158726,617,620,688,34,28,27,30,34,33,S,422,10.23703704
ORANGEBURG COUNTY,SC,262093,292177,340090,910,961,1240,67,72,82,66,68,61,S,872,10.23703704
HIGHLAND COUNTY,VA,96910,94880,103470,298,303,320,11,16,19,17,16,9,S,1274,10.23703704
CITRUS COUNTY,FL,70672,74264,93183,288,331,293,11,9,14,55,46,45,S,151,10.23703704
WOLFE COUNTY,KY,61145,59856,67007,456,453,510,3,3,5,70,63,78,S,487,10.23703704
PASQUOTANK COUNTY,NC,83218,81626,73766,199,225,253,26,20,15,14,9,15,S,727,10.23703704
CATAWBA COUNTY,NC,62854,67408,81452,507,567,669,5,4,5,27,32,40,S,675,10.23703704
MONTGOMERY COUNTY,KY,113383,115897,121161,772,793,874,11,9,12,119,114,122,S,455,10.23703704
KIMBLE COUNTY,TX,774804,781013,720012,476,442,423,202,184,188,18,19,11,S,1109,10.23703704
TWIGGS COUNTY,GA,31161,31693,40169,113,112,149,9,6,10,7,4,7,S,352,10.23703704
DAVIDSON COUNTY,TN,47319,57917,74003,440,561,693,1,1,4,52,47,66,S,899,10.23703704
SURRY COUNTY,VA,52770,46030,55565,110,126,186,14,11,13,6,8,8,S,1316,10.23703704
WASHITA COUNTY,OK,577693,589015,586142,1004,1089,1135,196,181,152,55,67,46,S,832,10.23703704
WETZEL COUNTY,WV,37130,36217,45877,199,203,269,2,2,2,3,6,3,S,1379,10.23703704
OKTIBBEHA COUNTY,MS,80761,91819,124895,339,355,454,11,15,23,26,24,12,S,628,10.23703704
OVERTON COUNTY,TN,105519,110079,126718,818,842,991,7,10,9,56,51,79,S,947,10.23703704
SEBASTIAN COUNTY,AR,115019,118946,137686,689,738,814,14,12,15,41,50,54,S,133,10.23703704
CHESTERFIELD COUNTY,SC,109652,109613,139303,491,429,518,18,17,29,20,22,29,S,847,10.23703704
HOOD COUNTY,TX,225852,212741,238234,659,638,593,48,46,34,51,38,41,S,1086,10.23703704
REAL COUNTY,TX,362642,318164,311411,215,189,177,85,83,81,11,11,9,S,1168,10.23703704
LEE COUNTY,NC,37434,42636,52614,301,345,457,5,4,4,27,33,39,S,710,10.23703704
MONROE COUNTY,WV,148842,143762,153723,606,610,720,11,9,13,22,14,22,S,1359,10.23703704
POCAHONTAS COUNTY,WV,115487,118540,129717,355,379,430,17,16,17,9,9,9,S,1365,10.23703704
EDGECOMBE COUNTY,NC,180400,182498,219242,376,449,615,57,48,50,30,33,40,S,690,10.23703704
NOWATA COUNTY,OK,282659,231409,274430,695,679,696,58,46,58,30,22,23,S,810,10.23703704
WAYNE COUNTY,KY,135850,136970,140014,889,979,1082,12,9,8,124,130,146,S,484,10.23703704
JEFFERSON COUNTY,TN,98669,109592,115196,1234,1326,1456,1,1,3,153,149,183,S,925,10.23703704
JASPER COUNTY,TX,70165,101968,76097,532,602,659,1,11,13,35,58,56,S,1096,10.23703704
CHOCTAW COUNTY,MS,42712,47224,76105,195,228,332,7,6,9,5,7,5,S,585,10.23703704
COFFEE COUNTY,GA,178861,178875,200598,711,649,833,26,29,24,53,47,55,S,243,10.23703704
POLK COUNTY,TX,141215,144390,161772,515,559,530,24,28,36,32,32,31,S,1162,10.23703704
COLORADO COUNTY,TX,549167,559698,596786,1547,1589,1424,95,106,109,64,70,48,S,1020,10.23703704
WEST BATON ROUGE PARISH,LA,38566,42488,42970,90,95,93,14,13,12,13,6,11,S,549,10.23703704
KERR COUNTY,TX,531206,539371,589223,651,584,529,122,117,115,44,33,29,S,1108,10.23703704
WASHINGTON COUNTY,AL,85086,86532,96955,361,416,466,13,15,15,24,29,42,S,65,10.23703704
GRAHAM COUNTY,NC,8882,7533,10507,147,147,197,0,0,0,39,33,52,S,695,10.23703704
CLINTON COUNTY,KY,75409,86085,87629,747,777,848,5,6,5,120,103,103,S,395,10.23703704
MCINTOSH COUNTY,GA,8003,5071,5107,33,23,29,2,1,1,6,2,1,S,304,10.23703704
TOWNS COUNTY,GA,9910,10638,13613,128,149,176,0,0,0,6,11,11,S,348,10.23703704
PULASKI COUNTY,GA,80396,86400,89515,137,163,188,21,26,26,7,5,7,S,325,10.23703704
LOGAN COUNTY,AR,186829,187992,187551,940,995,1058,21,16,14,30,30,42,S,109,10.23703704
ANNE ARUNDEL COUNTY,MD,43320,42413,44722,477,567,604,0,0,0,78,101,127,S,554,10.23703704
WHEELER COUNTY,TX,501692,486321,492597,445,467,507,131,141,136,12,22,24,S,1217,10.23703704
MONROE COUNTY,AR,219444,234605,235409,278,306,369,87,86,72,8,6,4,S,115,10.23703704
BEAUFORT COUNTY,NC,144529,156433,158281,447,630,815,39,37,29,20,37,43,S,664,10.23703704
NORTHAMPTON COUNTY,VA,52469,50530,62283,162,180,246,11,8,10,11,14,18,S,1292,10.23703704
MENARD COUNTY,TX,487573,501761,463848,280,261,268,113,109,111,13,11,9,S,1139,10.23703704
SAN SABA COUNTY,TX,743638,741678,708937,640,609,643,164,169,153,23,21,17,S,1181,10.23703704
HENDERSON COUNTY,TX,356170,333190,323887,1579,1577,1509,51,51,38,120,100,75,S,1082,10.23703704
KENEDY COUNTY,TX,553226,621878,569640,29,24,25,14,13,15,0,2,0,S,1106,10.23703704
CARROLL COUNTY,AR,246184,240838,252536,1031,1045,1081,33,29,29,36,52,47,S,75,10.23703704
BRAZOS COUNTY,TX,295601,271421,256837,1006,971,874,66,61,51,70,82,65,S,996,10.23703704
COLUMBIA COUNTY,AR,57253,66305,80909,320,411,477,6,4,9,17,12,27,S,81,10.23703704
GREENUP COUNTY,KY,100468,93353,92487,849,824,857,3,3,2,90,111,125,S,413,10.23703704
FLEMING COUNTY,KY,193859,204660,177444,1232,1308,1295,9,8,3,132,154,193,S,403,10.23703704
CUSTER COUNTY,ID,140701,137022,148063,267,261,240,36,32,38,24,30,16,W,164,10.29268293
UMATILLA COUNTY,OR,1466580,1451108,1407279,1441,1453,1441,300,322,290,330,327,330,W,325,10.29268293
ESMERALDA COUNTY,NV,1949420,1798823,2133372,23,28,29,9,8,9,0,1,1,W,283,10.29268293
